Pathogen,Priority score,Priority order,Pathogen subtypes/names,Also known as,Pathogen Type,Priority type,Disease Type,Family,Priority,Disease,taxids,BRC's appearance,WasteWater,Afecting species,WHO,NIAID,ECDC,AFRICACDC,WOAH,CDC,FAO,EFSA,EU4S-DEEP,UKHSA,Number of priority lists,"Number of appearances (WHO, NIAD, ECDC)","Number of appearances (WHO, NIAD, ECDC, AFRICACDC)",Notes,NIAID Notes
Vibrio Cholerae,14,1,,,Bacteria,"Pandemic preparedness, Biodefense/Bioterrorism, vaccine-preventable",Water-borne Disease,Vibrionaceae ,High Priority Group,cholera,127906,,,,X,X,X,X,,,,,,,3,3,4,,
Orthoebolavirus sudanense,14,2,,Ebolavirus sudan,Virus,"Biodefense/Bioterrorism, Pandemic preparedness, vaccine-preventable",Viral haemorrhagic Fever,Filoviridae,Critical Priority Group,Ebola,3052460,,,,X,X,X,X,,,,,,,3,3,4,,"Viral hemorrhagic fevers (filoviruses), Antiviral Program for Pandemics"
Orthoebolavirus zairense,14,3,,Ebolavirus zaire,Virus,"Biodefense/Bioterrorism, Pandemic preparedness, vaccine-preventable","Viral haemorrhagic Fever, Ebola",Filoviridae,Critical Priority Group,Ebola,3052462,,,,X,X,X,X,,,,,,,3,3,4,,"Viral hemorrhagic fevers (filoviruses), Antiviral Program for Pandemics"
Orthomarburgvirus marburgense,14,4,,Marburg virus,Virus,"Biodefense/Bioterrorism, Pandemic preparedness, vaccine-preventable",Viral haemorrhagic Fever,Filoviridae,High Priority Group,Marburg fever,186537,,,,X,X,X,X,,,,,,,3,3,4,,"Viral hemorrhagic fevers (filoviruses), Antiviral Program for Pandemics"
Orthoflavivirus denguei,14,5,Dengue virus,Dengue virus,Virus,"Biodefense/Bioterrorism, Pandemic preparedness, vaccine-preventable",Vector-borne Disease,Flaviviridae,High Priority Group,Dengue fever,3052464,,,,X,X,X,X,,,,,,,3,3,4,,"Viral hemorrhagic fevers (flaviviruses), Antiviral Program for Pandemics"
Enterovirus C,14,6,Poliovirus,Enterovirus coxsackiepol,Virus,"Biodefense/Bioterrorism, Pandemic preparedness, vaccine-preventable",Vaccine-Preventable Disease,Picornaviridae,High Priority Group,"Poliomyelitus, Polio",138950,,,,X,X,X,X,,,,,,,3,3,4,,Antiviral Program for Pandemics
Mammarenavirus lassaense,13,7,,Lassa virus,Virus,"Pandemic preparedness, Biodefense/Bioterrorism",Zoonosis,Arenaviridae,High Priority Group,Lassa fever,3052310,,,,X,X,X,X,,,,,,,2,3,4,,"Viral hemorrhagic fevers (arenaviruses), Antiviral Program for Pandemics"
Severe acute respiratory syndrome-related coronavirus,13,8,SARS-CoV-2,,Virus,"Pandemic preparedness, vaccine-preventable","SARS, COVID-19",Coronaviridae,,,694009,,,,X,X,X,X,,,,,,,2,3,4,,
Orthoflavivirus flavi ,13,9,Yellow fever virus,Yellow fever virus,Virus,"Biodefense/Bioterrorism, Pandemic preparedness",Vector-borne Disease,Flaviviridae,High Priority Group,Yellow Fever,3046277,,,,X,X,X,X,,,,,,,2,3,4,,"Mosquito-borne viruses, Antiviral Program for Pandemics"
Orthonairovirus haemorrhagiae,13,10,,Crimean Congo Haemorrhagic Fever virus,Virus,"Pandemic preparedness, Biodefense/Bioterrorism",Viral haemorrhagic Fever,Nairoviridae,High Priority Group,Crimean Congo Haemorrhagic Fever (CCHF),3052518,,,,X,X,X,X,,,,,,,2,3,4,,"Viral hemorrhagic fevers (bunyaviruses), Antiviral Program for Pandemics"
Monkeypox virus,13,11,,"MPXV, Mpox virus",Virus,"Pandemic preparedness, STI",Zoonosis,Poxviridae,High Priority Group,Mpox,10244,,,,X,X,X,X,,,,,,,2,3,4,,
Chikungunya virus,13,12,,Alphavirus chikungunya,Virus,"Biodefense/Bioterrorism, Pandemic preparedness",Vector-borne Disease,Togaviridae,Medium Priority Group,chikungunya,37124,,,,X,X,X,X,,,,,,,2,3,4,,"Mosquito-borne viruses, Antiviral Program for Pandemics"
Yersinia Pestis ,13,13,,,Bacteria,"Pandemic preparedness, Biodefense/Bioterrorism",Zoonosis,Yersiniaceae,High Priority Group,Plague,632,,,,X,X,X,X,,,,,,,2,3,4,,
Coccidioides spp.,12,14,,,Fungi,"Biodefense/Bioterrorism, AMR/Nosocomial infection, Pandemic preparedness",,Onygenaceae,,,5500,,,,X,X,,,,,,,,,3,2,2,,
Plasmodium spp.,12,15,,,Parasite (Protozoa),"Other, vaccine-preventable",vector-borne disease,Plasmodiidae,,Malaria,5820,,,,,X,X,,,,,,,,2,2,2,,
Mucorales order,12,16,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness, Biodefense/Bioterrorism",,,High Priority Group,,4827,,,,X,X,,,,,,,,,3,2,2,,
Mycobacterium tuberculosis,12,17,,,Bacteria,"AMR/Nosocomial infection, Animal disease, Biodefense/Bioterrorism, vaccine-preventable",,Mycobacteriaceae,,Tuberculosis,1773,,,Multiple Species,X,X,X,,X,,,,,,3,3,3,"rifampicin-resistant, Multidrug-resistant (MDR)",
Shigella spp.,12,18,,,Bacteria,"Biodefense/Bioterrorism, AMR/Nosocomial infection, Pandemic preparedness",,Enterobacteriaceae,,Shigellosis,620,,,,X,X,X,,,,,,,,3,3,3,fluoroquinolone-resistant,Food- and/or waterborne pathogen
Orthoflavivirus zikaense,12,19,Zika virus,Zika virus,Virus,"Biodefense/Bioterrorism, Pandemic preparedness, vaccine-preventable",Vector-borne Disease,Flaviviridae,,,3048459,,,,X,X,X,,,,,,,,3,3,3,,"Mosquito-borne viruses, Antiviral Program for Pandemics"
Alphainfluenzavirus influenzae,12,20,"Alphainfluenzavirus influenzae H1, H3
Alphainfluenzavirus influenzae H2
Alphainfluenzavirus influenzae H5, H6, H7, H10 (avian origin)",,Virus,"Pandemic preparedness, Biodefense/Bioterrorism, vaccine-preventable",,Orthomyxoviridae,,,2955291,,,,X,X,X,,,,,,,,3,3,3,,
Variola virus,12,21,,Small pox virus,Virus,"Pandemic preparedness, Biodefense/Bioterrorism, vaccine-preventable","Smallpox, variola minor",Poxviridae,,,10255,,,,X,X,X,,,,,,,,3,3,3,,
Human immunodeficiency virus 1,12,22,,HIV,Virus,"STI, vaccine-preventable, Pandemic preparedness",STI,Retroviridae,,acquired immune deficiency syndrome (AIDS),11676,,,,X,X,X,,,,,,,,3,3,3,,
Merbecovirus spp.,12,23,MERS,,Virus,Pandemic preparedness,MERS (Middle East respiratory syndrome),Coronaviridae,,,2509494,,,,X,X,X,X,,,,,,,1,3,4,,
